,rowid,kepler_id,koi_name,plnt_disposition,plnt_disp_confidence,flag_nTransitLk,flag_scndEvent,flag_centroidOffset,flag_ephMatch,orbital_period,transit_epoch,impact_parameter,transit_duration,transit_depth,planetary_radius,equ_temp,insolation_flux,transit_sigToNoise,stellar_eff_temp,stellar_surf_gravity,stellar_radius,right_acension,declination,kepler_magnitude
1254,1315,8230616,K01713.01,CONFIRMED,1.082099238443491,0.36743815253174383,0.6032292634276331,0.528209327653692,0.39541432887157024,0.3494491614240271,0.44797520688224785,0.36474107725183375,0.4750693597516113,0.30691806507708985,0.08516170068696266,0.6676311154374874,0.047928414695600635,0.31071434955350646,1.894426333981511,0.871027485651663,0.17745104285408178,0.26376343493038484,0.10214300718406423,0.6628896645901752
1255,1316,9692345,K01485.01,FALSE POSITIVE,1.0142965434442481,0.36743815253174383,1.6575371368726477,1.8929520056396643,2.5286764620621325,0.420285156732048,0.4154755449499911,0.7748095327034829,0.4670339380018225,0.30789750867265153,0.0851296588736222,0.2942052212560485,0.042824193128215865,0.27675524717216465,1.5392415491833762,0.6966689566050268,0.16546164922256723,2.070374493730784,0.7329211422879658,0.9796587021929138
1256,1317,7898352,K01486.01,CONFIRMED,1.082099238443491,0.36743815253174383,0.6032292634276331,0.528209327653692,0.39541432887157024,1.0402387562663358,0.10799324152046949,0.26841493415307105,0.282811966980437,0.2182296238693748,0.050876960412675754,0.8862302828678366,0.04805092879729805,0.1735763716441854,0.05274739696540688,0.090300620443303,0.08262583867755756,0.4656351395329397,0.051806085429119256,0.8684603333346781
1257,1318,11402995,K00173.01,CONFIRMED,1.082099238443491,0.36743815253174383,0.6032292634276331,0.528209327653692,0.39541432887157024,0.31214938780100876,0.32364472825107116,0.0685388002065125,0.12651907351619848,0.3079245521332733,0.08118851583274624,0.28715040239655554,0.047171727357339086,0.2465825255441432,0.017228918485593395,0.052601479027818164,0.08932121434190986,0.037896570716045914,1.5112808147763734,0.34667447372802307
1258,1319,7898352,K01486.02,CONFIRMED,1.082099238443491,0.36743815253174383,0.6032292634276331,0.528209327653692,0.39541432887157024,0.07999142638576906,0.19064296233099315,0.7838361968171984,0.08065850658880863,0.3018726959671797,0.07776004180531754,0.600278939526515,0.04785804306907009,0.3039698588366546,0.05274739696540688,0.090300620443303,0.08262583867755756,0.4656351395329397,0.051806085429119256,0.8684603333346781
1259,1320,12062667,K01487.01,FALSE POSITIVE,1.0142965434442481,0.36743815253174383,0.6032292634276331,1.8929520056396643,2.5286764620621325,0.3944262259875542,0.4144739859823528,0.6720357723806375,0.2256764730790791,0.3101773899833288,0.033649343179444666,1.1461511656737873,0.020228745714048747,0.3024316416556182,1.1956812937622623,1.1505889727539345,0.08366860805565726,0.003285882609338658,1.8682143922965042,1.2026092866499731
1260,1321,7984047,K01552.01,CANDIDATE,0.9542190957483392,0.36743815253174383,0.6032292634276331,0.528209327653692,0.39541432887157024,0.46744647191844063,4.49426405513787,0.6523048054459148,0.20126275985151157,0.11801126201570787,0.05933599913455589,0.9653986299912602,0.048068447721985215,0.12932304658975394,1.115556841602744,0.5388038019276662,0.14926818249948262,1.4286208614918965,0.018220325742401747,1.1684033019654458
1261,1322,7951018,K01553.01,CONFIRMED,0.3203895396394064,0.36743815253174383,0.6032292634276331,0.528209327653692,0.39541432887157024,0.18045776944850855,0.023348132565154524,0.35442488969330177,0.20312340572217696,0.24507084643778068,0.061386675188345015,0.7113509489235573,0.04796528729722261,0.03478185215528676,0.6806633558049667,0.22071729623447833,0.08978833357430652,0.7631811430736061,0.014579780242313713,0.6321637995109258
1262,1323,9899355,K01554.01,FALSE POSITIVE,1.0142965434442481,0.36743815253174383,1.6575371368726477,1.8929520056396643,2.5286764620621325,0.41284759392219766,3.410714557349355,0.8113043044208202,0.10498665725138409,0.30073687062106613,0.0028142404019931874,0.562432307778693,0.03845168259430216,0.20729882522844467,0.38509887416937594,0.5105294458660505,0.1301162939712191,0.6524346541415481,0.8161883183498725,1.1325564593729884
1263,1324,12644774,K01555.01,FALSE POSITIVE,1.0142965434442481,0.36743815253174383,1.6575371368726477,1.8929520056396643,2.5286764620621325,0.04568820064764869,3.835712934151442,0.7593352513656848,0.024553194963064788,0.29902842939135293,0.07904171433893574,0.7314384399847245,0.047979136717414494,0.3147373791039093,0.0335117650569973,0.14531901340350029,0.12077390932328569,0.6291950521458478,2.204971649847518,0.4309825400634586
